TIMESTAMP,MUX0,MUX1,MUX2,MUX3,MUX4,MUX5,MUX6,MUX7
1572784436,757,795,790,789,15,14,14,12
1572784437,757,792,785,789,12,12,13,13
1572784438,752,797,792,789,14,13,13,13
1572784439,753,793,786,788,14,14,14,14
1572784440,763,798,788,789,15,14,14,13
1572784441,754,788,790,789,14,13,13,12
1572784443,762,788,787,789,15,14,14,14
1572784444,765,793,790,789,13,12,13,14
1572784445,762,788,785,789,13,13,14,15
1572784446,762,788,785,788,14,14,14,14
1572784447,762,790,788,789,14,14,14,14
1572784448,761,788,788,788,13,13,13,13
1572784449,756,796,786,790,12,12,13,13
1572784450,759,797,787,789,13,14,14,14
1572784451,757,798,785,786,13,13,13,14
1572784452,751,787,788,790,13,14,13,14
1572784453,753,787,792,790,13,13,14,14
1572784454,760,790,793,788,16,14,13,14
1572784456,757,787,788,789,14,13,13,13
1572784457,759,796,785,789,14,14,13,14
1572784458,753,789,786,789,12,13,13,13
1572784459,759,792,786,790,14,14,15,15
1572784460,762,792,788,789,12,12,12,13
1572784461,752,789,785,789,15,14,14,14
1572784462,761,796,790,790,16,14,15,13
1572784463,753,789,789,789,13,13,13,13
1572784464,751,790,790,788,12,12,12,13
1572784465,761,796,788,788,12,13,13,13
1572784466,761,792,786,788,13,13,12,14
1572784467,752,796,790,789,13,13,13,14
1572784468,751,788,789,789,13,14,13,15
1572784470,762,796,789,793,16,14,14,13
1572784471,752,789,792,788,15,13,12,12
1572784472,760,801,794,790,14,13,12,13
1572784473,753,789,790,788,14,15,15,15
1572784474,762,792,792,789,15,15,14,13
1572784475,762,796,786,788,13,13,12,13
1572784476,758,794,785,789,14,14,15,14
1572784477,754,794,792,790,15,14,13,15
1572784478,762,790,790,788,14,14,13,12
1572784479,761,793,788,788,12,12,13,13
1572784480,762,788,790,790,13,14,14,14
1572784481,760,798,793,788,15,15,14,14
1572784483,757,794,788,788,15,15,15,14
1572784484,754,789,787,788,14,14,12,13
1572784485,765,801,793,787,13,12,13,14
1572784486,751,797,790,789,13,13,14,14
1572784487,762,788,786,790,13,13,12,13
1572784488,761,797,793,789,12,13,13,14
1572784489,758,793,789,788,14,13,15,15
1572784490,762,795,788,788,13,13,14,14
1572784491,754,797,787,790,12,13,13,13
1572784492,760,788,789,787,13,13,12,13
1572784494,751,795,790,788,14,14,14,15
1572784495,764,788,785,789,14,13,12,13
1572784496,758,795,786,792,14,13,12,13
1572784497,751,797,788,789,15,14,14,14
1572784498,758,800,789,789,13,13,14,14
1572784499,762,795,785,789,14,13,13,13
1572784500,752,794,789,788,14,13,12,13
1572784501,760,795,793,786,13,13,13,14
1572784502,753,795,793,789,14,14,15,14
1572784503,754,793,789,788,13,13,13,13
1572784504,766,799,788,787,12,13,13,14
1572784505,754,788,787,789,15,14,14,13
1572784506,760,798,793,790,15,14,14,13
1572784507,751,797,785,788,13,13,13,13
1572784509,762,794,785,792,14,15,14,15
1572784510,760,800,795,792,14,14,14,13
1572784511,764,799,789,788,13,13,14,14
1572784512,761,799,793,789,13,14,14,14
1572784513,769,798,787,786,14,13,13,13
1572784514,760,800,789,787,14,13,12,13
1572784515,752,796,788,788,13,13,13,13
1572784516,762,790,788,789,13,13,13,13
1572784517,752,788,793,789,14,13,12,13
1572784518,760,794,789,789,15,15,15,14
1572784519,756,787,786,789,12,12,13,13
1572784520,753,793,786,792,14,13,15,14
1572784521,762,792,793,787,15,14,14,15
1572784523,758,787,792,789,13,14,14,14
1572784524,751,796,787,788,15,13,15,15
1572784525,761,795,783,792,13,13,13,12
1572784526,754,796,790,789,14,13,13,12
1572784527,762,789,792,790,15,14,14,14
1572784528,756,800,788,786,13,12,13,14
1572784529,753,789,790,789,15,14,14,14
1572784530,762,797,788,790,14,14,14,14
1572784531,752,798,786,789,14,13,13,12
1572784532,757,794,788,787,12,12,13,13
1572784534,759,793,786,790,13,12,13,13
1572784535,760,792,792,789,14,14,12,13
1572784536,754,795,790,792,13,13,13,14
1572784537,757,792,789,790,15,14,15,14
1572784538,760,801,787,790,13,13,13,13
1572784539,752,795,792,787,12,12,12,14
1572784540,756,796,787,792,15,14,14,13
1572784541,758,797,789,787,15,13,14,14
1572784543,761,793,789,789,14,15,15,14
1572784547,753,789,787,792,15,14,15,13
1572784549,752,789,790,789,15,14,14,14
1572784550,762,788,787,788,16,14,14,14
1572784551,760,800,787,790,13,14,15,15
1572784552,758,796,788,790,15,14,15,14
1572784553,757,790,788,788,14,14,14,15
1572784554,759,795,788,790,15,14,13,13
1572784555,752,798,789,789,15,13,13,12
1572784556,751,787,786,788,13,13,13,13
1572784557,762,794,790,789,12,14,14,14
1572784558,762,792,790,789,16,14,15,14
1572784559,752,797,785,788,14,14,14,14
1572784560,754,795,790,789,14,14,13,13
1572784562,761,794,788,787,13,14,14,14
1572784563,752,797,787,787,13,12,14,13
1572784564,761,797,789,789,13,14,13,14
1572784565,762,797,786,789,14,14,15,15
1572784566,760,789,786,788,15,15,14,14
1572784567,753,795,788,792,14,14,14,15
1572784568,759,797,785,789,14,13,13,12
1572784569,761,797,789,789,13,13,13,14
1572784570,754,789,786,789,12,14,14,14
1572784571,751,792,788,788,13,14,15,15
1572784572,756,788,789,788,15,14,14,13
1572784573,763,800,786,792,14,13,12,12
1572784574,757,795,789,788,13,13,13,13
1572784576,752,792,788,790,13,12,12,13
1572784577,761,797,787,788,13,13,14,14
1572784578,760,795,785,789,13,13,12,13
1572784579,751,795,786,788,15,15,15,14
1572784580,752,788,787,788,13,13,13,14
1572784581,753,788,786,788,15,14,15,15
1572784582,758,794,787,790,12,12,12,14
1572784583,761,787,785,790,13,14,14,14
1572784584,756,787,785,789,13,12,13,13
1572784585,753,790,792,788,14,14,14,15
1572784586,758,790,787,789,13,12,12,13
1572784587,753,793,789,789,12,13,13,14
1572784589,765,796,793,792,12,12,14,13
1572784590,768,795,793,788,14,14,15,14
1572784591,762,789,789,789,14,12,12,12
1572784592,760,790,789,789,13,14,15,13
1572784593,753,795,789,789,13,12,12,12
1572784594,759,792,789,789,14,14,14,14
1572784595,758,801,788,787,13,13,12,14
1572784596,765,799,788,789,12,13,13,14
1572784597,762,798,787,787,15,14,15,15
1572784598,752,797,792,789,13,13,14,14
1572784599,759,790,787,788,13,13,12,13
1572784600,762,795,788,790,13,13,13,14
1572784602,762,794,793,789,12,13,13,14
1572784603,762,793,793,789,14,14,12,12
1572784604,756,789,792,788,13,14,14,14
1572784605,761,789,790,789,16,14,14,14
1572784606,758,800,785,786,13,14,14,13
1572784607,752,795,793,788,14,13,13,12
1572784608,766,794,786,792,12,13,14,14
1572784609,753,789,786,788,13,13,12,13
1572784610,760,794,792,789,12,13,14,14
1572784611,762,792,787,790,13,13,13,13
1572784612,758,800,787,790,15,15,14,15
1572784613,757,797,792,789,14,13,12,12
1572784615,757,794,787,789,14,13,13,13
1572784616,759,794,792,788,12,13,13,13
1572784617,759,788,789,788,12,12,13,14
1572784618,752,789,786,788,14,14,14,15
1572784619,760,793,793,787,14,13,14,15
1572784620,757,788,792,790,14,14,14,13
1572784621,752,789,788,789,15,14,14,14
1572784622,753,795,792,789,12,13,14,14
1572784623,753,795,792,790,13,12,12,13
1572784624,757,797,790,789,13,14,14,15
1572784625,757,797,790,788,13,13,14,14
1572784626,757,788,790,789,12,13,12,13
1572784627,759,798,786,787,15,14,12,13
1572784629,762,787,792,792,15,14,14,14
1572784630,764,795,785,787,13,13,13,13
1572784631,764,795,792,792,14,13,14,14
1572784632,758,793,788,790,13,14,14,14
1572784633,757,787,787,790,13,12,13,13
1572784634,758,793,785,789,13,13,14,13
1572784635,760,795,786,788,14,14,13,12
1572784636,752,790,790,789,15,14,14,13
1572784637,758,790,789,789,12,12,13,13
1572784638,758,796,790,789,12,13,12,13
1572784639,763,796,785,790,12,13,12,13
1572784640,759,793,786,790,12,12,13,14
1572784642,763,787,790,788,13,14,14,14
1572784643,764,797,790,790,14,15,14,14
1572784644,757,801,792,789,14,15,15,14
1572784645,762,794,787,788,14,13,13,12
1572784646,761,798,789,786,12,12,12,13
1572784647,758,800,788,789,13,13,12,14
1572784648,753,797,785,788,14,13,12,12
1572784649,761,795,785,788,14,14,14,14
1572784650,751,792,788,793,12,14,15,15
1572784651,762,796,790,790,15,14,14,15
1572784652,765,795,788,792,13,13,12,12
1572784653,754,794,789,789,13,13,13,13
1572784655,753,794,789,790,13,13,12,14
1572784656,761,792,787,792,13,13,13,13
1572784657,758,798,793,790,13,13,14,14
1572784658,759,793,789,788,15,14,14,14
1572784659,760,795,790,790,15,14,14,14
1572784660,753,795,787,790,14,14,14,15
1572784661,752,795,786,789,13,13,13,14
1572784662,757,798,786,786,14,12,14,15
1572784663,754,793,793,789,12,14,13,14
1572784664,754,792,785,789,13,14,14,14
1572784665,760,795,790,789,14,15,14,15
1572784667,756,788,789,792,13,15,15,15
1572784668,760,788,786,790,16,14,14,13
1572784669,752,788,793,793,13,14,14,15
1572784670,753,793,792,790,15,13,14,14
1572784671,757,792,786,792,13,13,13,13
